listeners,toptags,song_name,main_artist_name
532841.0,indie:100;indie rock:81;alternative:48;british:43;rock:43;Bloc Party:23;britpop:20;Mellow:13;alternative rock:11;Love:10;00s:10;seen live:9;chill:7;chillout:7;post-punk:7;the oc:7;favorites:6;beautiful:6;Awesome:6;Music From the OC:6;brit rock:5;pop:4;favorite songs:4;indie pop:4;2005:4;british i like:4;modern rock:4;Favorite:4;lovely:4;electronic:3;emo:3;UK:3;catchy:3;england:3;amazing:3;heard on Pandora:3;love at first listen:3;blue:3;Post-punk revival:3;songs i would have sex to:3;80s:2;Favorite Bands:2;singer-songwriter:2;cute:2;Post punk:2;london:2;soft:2;Indie-Rock:2;favourite:2;I like:2;melancholic:2;loved:2;cool:2;block party:2;temazo:2;MM:2;tagteamers:2;brit pop:2;Britrock:2;good song:2;TMO:2;Jeremy:2;why do I like this so much:2;blue light:2;slow flowing-good:2;,blue light,bloc party
500506.0,indie:100;indie rock:96;alternative:78;interpol:53;rock:47;post-punk:33;alternative rock:29;melancholic:11;seen live:9;dark:9;00s:9;american:8;new york:7;2007:7;Awesome:7;threesome:7;Love:6;Post punk:6;favorites:5;favorite songs:4;new wave:4;atmospheric:4;amazing:4;male vocalist:4;Post-punk revival:4;sexy:3;Alternative  Punk:3;melancholy:3;intense:3;sex:3;Favourites:3;antial:3;cute:3;beautiful:3;me:3;NYC:3;male vocalists:3;love at first listen:3;2000s:3;And I hate that my feet are dancing so much:3;i am in love with this track more than loved tracks can express:3;bless your beautiful hide and curse your god when your friends die:3;No I In Threesome:3;male:2;pop:2;british:2;britpop:2;psychedelic:2;synth:2;upbeat:2;Mellow:2;relaxing:2;fun:2;loved:2;brit rock:2;Favorite:2;fav:2;alt rock:2;yes:2;great songs:2;perfect:2;lol:2;Masterpiece:2;powerful:2;major key tonality:2;acoustic rhythm piano:2;electric rock instrumentation:2;a vocal-centric aesthetic:2;post punk revival:2;The soundtrack to my wasted life:2;modern romance:2;subtle use of strings:2;bobbyscdclub:2;so beautiful that hurts:2;360shift:2;so goddamn sad:2;AKJSKLDJSL:2;wake up and smell the coffee music:2;Late Night Venture:2;something rotten something blue:2;arvika 08:2;somthing so great it was worth the more then 2 year wait for the new inerpol album:2;pra escuta no bus:2;pra escuta no trampo:2;songs for bicycling at night:2;breaking dawn playlist:2;jell0:2;life is wine:2;esa voz:2;sketching:2;,no i in threesome,interpol
495833.0,classic rock:100;70s:77;rock:56;happy:44;pop:35;ELO:24;Progressive rock:19;british:19;upbeat:10;fun:10;Electric Light Orchestra:8;80s:7;Symphonic Rock:6;summer:6;Soundtrack:6;mr blue sky:6;feel good:5;1977:4;alternative:4;favorites:4;oldies:4;classic:4;pop rock:4;catchy:4;Uplifting:4;male vocalists:4;doctor who:4;Eternal Sunshine Of The Spotless Mind:4;soft rock:3;optimistic:3;good morning:3;feelgood:3;Beatlesque:3;piano:3;Energetic:3;i am a party girl here is my soundtrack:3;beautiful:3;Awesome:3;vocoder:3;Favourites:3;weather:3;70s rock:3;Jeff Lynne:3;power pop:2;sunny:2;Pitchfork 500:2;silver apples moon:2;Love:2;epic:2;morning:2;art rock:2;Progressive:2;party:2;Prog-Rock:2;handclaps:2;amayzes loved:2;eternal sunshine:2;mercury guava lapis lazuli:2;jetstream dreams:2;electronic:2;memories:2;blues:2;psychedelic:2;Mellow:2;1978:2;favourite:2;cool:2;hand claps:2;Favorite:2;best:2;1970s:2;perfect:2;colors:2;commercials:2;Favourite Songs:2;major key tonality:2;colours:2;makes me happy:2;sunny day:2;70's:2;Makes Me Smile:2;davaho53:2;the pitchfork 500:2;dear old dismal england:2;grins and smiles and giggles and laughs:2;1970s electrochanical:2;,mr. blue sky,electric light orchestra
489374.0,Progressive rock:100;classic rock:76;rock:63;Psychedelic Rock:54;Pink Floyd:46;psychedelic:22;70s:21;british:14;melancholy:10;sad:10;the wall:7;Progressive:6;art rock:5;Mellow:5;melancholic:5;acoustic:4;Goodbye Blue Sky:4;Sentimental:4;dark:3;favorites:3;Symphonic Rock:3;beautiful:3;guitar:3;space rock:3;male vocalists:3;1979:3;Floyd:3;pop:3;prog rock:3;hopeless:3;classic:2;alternative:2;hard rock:2;atmospheric:2;great lyrics:2;rock opera:2;Soundtrack:2;chill:2;favourite:2;live:2;Masterpiece:2;Dream:2;7 of 10 stars:2;10 of 10 stars:2;6 of 10 stars:2;sad songs:2;concept album:2;legend:2;sleeping song:2;seen live:1;80s:1;alternative rock:1;favorite songs:1;experimental:1;Awesome:1;crazy:1;Prog-Rock:1;war:1;Favorite:1;9 of 10 stars:1;sky:1;pink:1;powerful:1;colours:1;acoustic guitar:1;psychadelic:1;Look to the sky:1;serious:1;Pink Floyd Radio:1;classic rock favorites:1;love to sing:1;drug-influenced:1;Best of best:1;the best music you will ever hear:1;Floydian:1;Neuroshima:1;best of Pink Floyd:1;late pink floyd:1;,goodbye blue sky,pink floyd
467522.0,jazz:100;trumpet:28;cool jazz:23;miles davis:22;instrumental:20;Mellow:8;50s:7;chillout:7;blues:5;modal jazz:5;Smooth Jazz:5;classic jazz:5;beautiful:5;melancholy:5;chill:4;piano:4;jazz trumpet:4;instrumental jazz:3;romantic:3;relaxing:3;relax:3;saxophone:3;Miles:3;smooth:3;cool:3;Blue In Green:3;soul:3;american:3;sad:2;bebop:2;sexy:2;genius:2;oldies:2;Soft jazz:2;jazzy:2;Bill Evans:2;Tranquil:2;Love:2;easy listening:2;night:2;Dreamy:2;horns:2;late night:2;blue:2;1959:2;Sentimental:2;late night jazz:2;free jazz:2;music to fall asleep to:2;ambient:2;USA:2;john coltrane:2;pretty:2;Ballad:2;perfect:2;kind of blue:2;jazz standards:2;classic:1;Hard Bop:1;bass:1;Sleep:1;melancholic:1;quiet:1;Officially Shit:1;green:1;sadness:1;good music:1;jazz instrumental:1;rustycanuckjazzgiants:1;soundtrack of my dreams:1;This was my gateway into jazzNever ever get tired of A Kind of Blue:1;silver apples moon:1;,blue in green,miles davis
465838.0,classic rock:100;rock:59;70s:34;the who:31;british:27;hard rock:13;60s:8;favorites:7;oldies:6;Ballad:5;classic:5;Progressive rock:5;acoustic:4;beautiful:4;1971:4;mod:3;rock ballad:3;Behind blue eyes:3;sad:3;guitar:3;melancholic:3;british invasion:3;melancholy:3;behind blue eyes - the who:3;alternative:2;who:2;70s rock:2;pop:2;Awesome:2;Psychedelic Rock:2;favorite songs:2;Mellow:2;male vocalists:2;Favourites:2;rock ballads:2;seen live:2;psychedelic:2;amazing:2;emotional:2;rock band:2;Favourite Songs:2;80s:2;Love:2;original:2;cool:2;Favorite:2;UK:1;epic:1;nostalgic:1;Rock and Roll:1;relax:1;,behind blue eyes,the who
454162.0,folk:100;singer-songwriter:63;Bob Dylan:62;classic rock:51;rock:50;folk rock:40;70s:26;acoustic:19;Dylan:14;folk-rock:13;american:10;60s:8;favorites:8;guitar:7;classic:7;blues:7;oldies:6;1975:6;poetry:5;folkrock:5;Love:4;beautiful:4;genius:4;male vocalist:4;Rolling Stone 500 Greatest Songs of All Time:4;seen live:4;favorite songs:4;americana:4;Awesome:4;harmonica:4;male vocalists:4;Favorite:4;Favourites:4;rock band 2:4;pop:3;loved:3;rock band:3;Great Lyricists:3;singer-songwritergdchill:3;american i like:3;country:3;New Orleans:3;favourite:3;colors:3;Favourite Songs:3;blue:3;Rolling Stones Top 500 Songs of All Time:3;RS 500:3;chillout:2;chill:2;alternative:2;USA:2;Mellow:2;great:2;nostalgic:2;singer songwriter:2;best song ever:2;story:2;addictive:2;bob:2;70s rock:2;BobDylan:2;Consistent Dodo Radio - Flittering:2;indie:2;epic:2;melancholy:2;political:2;blues rock:2;Rock and Roll:2;nd:2;fav:2;roadtrip:2;hippie:2;1970s:2;1960s:2;music:2;Seminal:2;Faves:2;1974:2;storytelling:2;on the road:2;legend:2;tells a story:2;best songs ever:2;colourful song titles:2;blue songs:2;his bobness:2;kissable:2;dr small jukebox:2;70s folk:2;red shoes ecstasy:2;ellias:2;George Ellias:2;,tangled up in blue,bob dylan
452553.0,folk:100;60s:64;singer-songwriter:60;classic rock:54;rock:53;folk rock:38;Bob Dylan:29;blues:19;Dylan:13;political:12;classic:10;american:9;folk-rock:8;favorites:7;acoustic:7;1965:6;pop:5;favorite songs:5;male vocalists:5;poetry:5;Favourites:4;rap:4;oldies:4;fun:4;male vocalist:4;folkrock:4;Favourite Songs:4;americana:3;Awesome:3;blues rock:3;great lyrics:3;legend:3;singer-songwritergdchill:3;american i like:3;USA:2;Driving:2;genius:2;harmonica:2;Protest:2;bob:2;60s rock:2;country:2;upbeat:2;garage:2;Rock and Roll:2;singer songwriter:2;60's:2;Great Lyricists:2;lyrics:2;sixties:2;Love it:2;1960s:2;folky:2;Seminal:2;subterranean:2;Rolling Stones Top 500 Songs of All Time:2;Pure Awesome:2;reasons why i love dylan:2;soundtrack to my life:2;Consistent Dodo Radio - Flittering:2;bob dylan suberranean homesick blues:2;seen live:1;70s:1;80s:1;pop rock:1;happy:1;Love:1;catchy:1;other:1;beautiful:1;guitar:1;summer:1;Mellow:1;amazing:1;favourite:1;relaxing:1;great song:1;loved:1;country rock:1;singer-songwriters:1;Singer/Songwriter:1;love at first listen:1;perfect:1;poet:1;1967:1;maggie:1;homesickness:1;sing-a-long:1;Rolling Stone 500 Greatest Songs of All Time:1;golden oldies:1;top 2000:1;nasal:1;Classic  Rock:1;love the video:1;a prominent harmonica part:1;Political Song:1;gregicana:1;the word homesick:1;the word subterranean:1;Bod Dylan:1;,subterranean homesick blues,bob dylan
441611.0,folk:100;indie:95;indie folk:59;alternative:48;beautiful:40;folk rock:23;american:20;acoustic:18;fleet foxes:17;indie rock:15;rock:14;00s:14;Mellow:12;favorites:11;atmospheric:11;songs that i will still be listening to in a billion years:10;indie pop:9;male vocalists:9;seattle:8;relaxing:8;seen live:6;chill:6;alternative rock:6;ambient:6;singer-songwriter:6;2008:6;Lo-Fi:6;love at first listen:6;harmonies:6;sub pop:6;Tears:6;americana:5;baroque pop:5;other:5;euphoric:5;folk pop:5;places:5;pop:4;Love:4;Awesome:4;Dreamy:4;amazing:4;Favorite:4;best of 2008:4;SUN:4;Nature:4;2000s:4;pearls in stereo:4;color song:4;modern life isnt rubbish:4;my kind of nice:4;makes you want to grow a beard:4;calm:3;epic:3;easy listening:3;Hope:3;late night:3;Alt-country:3;loved:3;good:3;gorgeous:3;audioase:3;easychill:3;perfect:3;best songs of the 00s:3;kind:3;daytrotter:3;indie schmindie:3;sad piano:3;great indie:3;sounds like:3;folksy:3;Check out more:3;absolute genius:3;outrageously beautiful:3;heartmelt:3;a secret chord that David played:3;hear the singer soaring--smell the sweetgrass burning:3;lazing on a sunny afternoon:3;sooooooooo good:3;There goes my hero:3;dpop:3;classic:2;country:2;favorite songs:2;experimental:2;USA:2;happy:2;piano:2;medieval:2;melodic:2;psychedelic:2;guitar:2;Gypsy:2;disturbing:2;painting:2;peace:2;haunting:2;beauty:2;winter:2;,blue ridge mountains,fleet foxes
435803.0,classic rock:100;60s:83;rock:67;Mellow:58;psychedelic:51;alternative:20;proto-punk:16;Velvet Underground:16;beautiful:15;Love:12;sad:11;art rock:11;chill:11;Lou Reed:11;Psychedelic Rock:10;The Velvet Underground:10;melancholy:9;melancholic:9;chillout:8;classic:7;1969:6;Adventureland:6;alternative rock:5;american:5;oldies:5;folk rock:5;Ballad:5;soothing:5;indie:4;pop:4;new york:4;experimental:4;favorites:4;male vocalists:4;lovely:4;70s:4;punk:4;indie rock:4;acoustic:4;soft rock:4;late night:4;NYC:4;favorite songs:3;slow:3;Experimental Rock:3;atmospheric:3;love songs:3;Rock and Roll:3;relax:3;Favourites:3;sweet:3;best songs ever:3;strings organs rubber wind:3;pale blue eyes:3;Consistent Dodo Radio - Flittering:3;folk:2;Progressive rock:2;easy listening:2;blues:2;Dreamy:2;Avant-Garde:2;Bittersweet:2;relaxing:2;4:2;Perfection:2;Favourite Songs:2;Nico:2;sad and beautiful:2;infinitely late at night:2;theo73 loves this music:2;depressed and loving it:2;silver apples moon:2;Soundtrack:2;singer-songwriter:2;memories:2;calm:2;Rock  Roll:2;relaxed:2;genius:2;smooth:2;Favorite Artists:2;amazing:2;favourite:2;loved:2;live:2;yearning:2;Favorite:2;fav:2;8 of 10 stars:2;all the best:2;Seminal:2;Chills:2;tambourine:2;heroin:2;blue:2;choice:2;velvets:2;all time favorites:2;high and low:2;colourful song titles:2;,pale blue eyes,the velvet underground
