artist_names,rank,song_name,week
Justin Bieber,1,What Do You Mean?,2015-09-19
The Weeknd,2,Can't Feel My Face,2015-09-19
The Weeknd,3,The Hills,2015-09-19
Silento,4,Watch Me,2015-09-19
OMI,5,Cheerleader,2015-09-19
Major Lazer & DJ Snake Featuring MO,6,Lean On,2015-09-19
Selena Gomez Featuring A$AP Rocky,7,Good For You,2015-09-19
Fetty Wap Featuring Remy Boyz,8,679,2015-09-19
R. City Featuring Adam Levine,9,Locked Away,2015-09-19
Skrillex & Diplo With Justin Bieber,10,Where Are U Now,2015-09-19
Demi Lovato,11,Cool For The Summer,2015-09-19
Ed Sheeran,12,Photograph,2015-09-19
Rachel Platten,13,Fight Song,2015-09-19
Fetty Wap,14,Trap Queen,2015-09-19
Taylor Swift,15,Wildest Dreams,2015-09-19
Fetty Wap Featuring Monty,16,My Way,2015-09-19
WALK THE MOON,17,Shut Up And Dance,2015-09-19
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",18,Downtown,2015-09-19
Shawn Mendes,19,Stitches,2015-09-19
Wiz Khalifa Featuring Charlie Puth,20,See You Again,2015-09-19
Taylor Swift Featuring Kendrick Lamar,21,Bad Blood,2015-09-19
Drake,22,Hotline Bling,2015-09-19
One Direction,23,Drag Me Down,2015-09-19
iLoveMemphis,24,Hit The Quan,2015-09-19
Mark Ronson Featuring Bruno Mars,25,Uptown Funk!,2015-09-19
Charlie Puth Featuring Meghan Trainor,26,Marvin Gaye,2015-09-19
Fall Out Boy,27,Uma Thurman,2015-09-19
Meek Mill Featuring Chris Brown & Nicki Minaj,28,All Eyes On You,2015-09-19
Fifth Harmony Featuring Kid Ink,29,Worth It,2015-09-19
Jidenna Featuring Roman GianArthur,30,Classic Man,2015-09-19
Rich Homie Quan,31,Flex (Ooh Ooh Ooh),2015-09-19
Jason Derulo,32,Want To Want Me,2015-09-19
Sam Hunt,33,House Party,2015-09-19
Ed Sheeran,34,Thinking Out Loud,2015-09-19
Andy Grammer,35,"Honey, I'm Good.",2015-09-19
Maroon 5,36,Sugar,2015-09-19
The Weeknd,37,Earned It (Fifty Shades Of Grey),2015-09-19
Omarion Featuring Chris Brown & Jhene Aiko,38,Post To Be,2015-09-19
Drake,39,Back To Back,2015-09-19
X Ambassadors,40,Renegades,2015-09-19
Keith Urban,41,"John Cougar, John Deere, John 3:16",2015-09-19
Fetty Wap,42,Again,2015-09-19
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",43,Hey Mama,2015-09-19
Hailee Steinfeld,44,Love Myself,2015-09-19
Chris Janson,45,Buy Me A Boat,2015-09-19
Thomas Rhett,46,Crash And Burn,2015-09-19
The Weeknd Featuring Lana Del Rey,47,Prisoner,2015-09-19
Luke Bryan,48,Strip It Down,2015-09-19
Jeremih Featuring J. Cole,49,Planez,2015-09-19
Elle King,50,Ex's & Oh's,2015-09-19
Tori Kelly,51,Should've Been Us,2015-09-19
Future Featuring Drake,52,Where Ya At,2015-09-19
Meghan Trainor Featuring John Legend,53,Like I'm Gonna Lose You,2015-09-19
The Weeknd,54,Tell Your Friends,2015-09-19
Calvin Harris & Disciples,55,How Deep Is Your Love,2015-09-19
Rae Sremmurd,56,This Could Be Us,2015-09-19
Flo Rida Featuring Robin Thicke & Verdine White,57,"I Don't Like It, I Love It",2015-09-19
5 Seconds Of Summer,58,She's Kinda Hot,2015-09-19
Brett Eldredge,59,Lose My Mind,2015-09-19
The Weeknd,60,Acquainted,2015-09-19
Dustin Lynch,61,Hell Of A Night,2015-09-19
The Weeknd,62,Real Life,2015-09-19
Kenny Chesney,63,Save It For A Rainy Day,2015-09-19
Luke Bryan,64,Kick The Dust Up,2015-09-19
Nicky Jam & Enrique Iglesias,65,El Perdon (Forgiveness),2015-09-19
Alessia Cara,66,Here,2015-09-19
Cam,67,Burning House,2015-09-19
K Camp,68,Comfortable,2015-09-19
Maddie & Tae,69,Fly,2015-09-19
Nick Jonas,70,Levels,2015-09-19
Zedd Featuring Jon Bellion,71,Beautiful Now,2015-09-19
Adam Lambert,72,Ghost Town,2015-09-19
Florida Georgia Line,73,Anything Goes,2015-09-19
Little Mix,74,Black Magic,2015-09-19
Old Dominion,75,Break Up With Him,2015-09-19
Carrie Underwood,76,Smoke Break,2015-09-19
Imagine Dragons,77,Roots,2015-09-19
Chris Young,78,I'm Comin' Over,2015-09-19
The Weeknd,79,Shameless,2015-09-19
"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",80,Rotten To The Core,2015-09-19
Jason Derulo,81,Cheyenne,2015-09-19
Big Sean Featuring Kanye West & John Legend,82,One Man Can Change The World,2015-09-19
Zac Brown Band,83,Loving You Easy,2015-09-19
Kendrick Lamar,84,Alright,2015-09-19
The Weeknd Featuring Labrinth,85,Losers,2015-09-19
Pia Mia Featuring Chris Brown & Tyga,86,Do It Again,2015-09-19
Meek Mill Featuring Drake,87,R.I.C.O.,2015-09-19
Cole Swindell,88,Let Me See Ya Girl,2015-09-19
Disclosure Featuring Sam Smith,89,Omen,2015-09-19
Frankie Ballard,90,Young & Crazy,2015-09-19
The Game Featuring Drake,91,100,2015-09-19
J. Cole,92,No Role Modelz,2015-09-19
The Weeknd Featuring Ed Sheeran,93,Dark Times,2015-09-19
Dan + Shay,94,Nothin' Like You,2015-09-19
5 Seconds Of Summer,95,Jet Black Heart,2015-09-19
Chase Rice,96,Gonna Wanna Tonight,2015-09-19
Halsey,97,New Americana,2015-09-19
Nicki Minaj,98,The Night Is Still Young,2015-09-19
Jake Owen,99,Real Life,2015-09-19
The Weeknd,100,In The Night,2015-09-19
The Weeknd,1,Can't Feel My Face,2015-09-26
The Weeknd,2,The Hills,2015-09-26
Justin Bieber,3,What Do You Mean?,2015-09-26
Silento,4,Watch Me,2015-09-26
OMI,5,Cheerleader,2015-09-26
Major Lazer & DJ Snake Featuring MO,6,Lean On,2015-09-26
Selena Gomez Featuring A$AP Rocky,7,Good For You,2015-09-26
Fetty Wap Featuring Remy Boyz,8,679,2015-09-26
R. City Featuring Adam Levine,9,Locked Away,2015-09-26
Ed Sheeran,10,Photograph,2015-09-26
Demi Lovato,11,Cool For The Summer,2015-09-26
Taylor Swift,12,Wildest Dreams,2015-09-26
Skrillex & Diplo With Justin Bieber,13,Where Are U Now,2015-09-26
Shawn Mendes,14,Stitches,2015-09-26
Fetty Wap Featuring Monty,15,My Way,2015-09-26
Drake,16,Hotline Bling,2015-09-26
Rachel Platten,17,Fight Song,2015-09-26
Fetty Wap,18,Trap Queen,2015-09-26
WALK THE MOON,19,Shut Up And Dance,2015-09-26
iLoveMemphis,20,Hit The Quan,2015-09-26
Wiz Khalifa Featuring Charlie Puth,21,See You Again,2015-09-26
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",22,Downtown,2015-09-26
Charlie Puth Featuring Meghan Trainor,23,Marvin Gaye,2015-09-26
One Direction,24,Drag Me Down,2015-09-26
Taylor Swift Featuring Kendrick Lamar,25,Bad Blood,2015-09-26
Fall Out Boy,26,Uma Thurman,2015-09-26
Mark Ronson Featuring Bruno Mars,27,Uptown Funk!,2015-09-26
Meek Mill Featuring Chris Brown & Nicki Minaj,28,All Eyes On You,2015-09-26
Rich Homie Quan,29,Flex (Ooh Ooh Ooh),2015-09-26
Fifth Harmony Featuring Kid Ink,30,Worth It,2015-09-26
Jason Derulo,31,Want To Want Me,2015-09-26
Ed Sheeran,32,Thinking Out Loud,2015-09-26
Jidenna Featuring Roman GianArthur,33,Classic Man,2015-09-26
The Weeknd,34,Earned It (Fifty Shades Of Grey),2015-09-26
Sam Hunt,35,House Party,2015-09-26
Hailee Steinfeld,36,Love Myself,2015-09-26
X Ambassadors,37,Renegades,2015-09-26
Andy Grammer,38,"Honey, I'm Good.",2015-09-26
Drake,39,Back To Back,2015-09-26
Omarion Featuring Chris Brown & Jhene Aiko,40,Post To Be,2015-09-26
Maroon 5,41,Sugar,2015-09-26
Chris Janson,42,Buy Me A Boat,2015-09-26
Thomas Rhett,43,Crash And Burn,2015-09-26
Keith Urban,44,"John Cougar, John Deere, John 3:16",2015-09-26
Calvin Harris & Disciples,45,How Deep Is Your Love,2015-09-26
Elle King,46,Ex's & Oh's,2015-09-26
Fetty Wap,47,Again,2015-09-26
Future Featuring Drake,48,Where Ya At,2015-09-26
Luke Bryan,49,Strip It Down,2015-09-26
Meghan Trainor Featuring John Legend,50,Like I'm Gonna Lose You,2015-09-26
Jeremih Featuring J. Cole,51,Planez,2015-09-26
Brett Eldredge,52,Lose My Mind,2015-09-26
Rae Sremmurd,53,This Could Be Us,2015-09-26
K Camp,54,Comfortable,2015-09-26
Kenny Chesney,55,Save It For A Rainy Day,2015-09-26
Nicky Jam & Enrique Iglesias,56,El Perdon (Forgiveness),2015-09-26
Flo Rida Featuring Robin Thicke & Verdine White,57,"I Don't Like It, I Love It",2015-09-26
Alessia Cara,58,Here,2015-09-26
Cam,59,Burning House,2015-09-26
Nick Jonas,60,Levels,2015-09-26
5 Seconds Of Summer,61,She's Kinda Hot,2015-09-26
Maddie & Tae,62,Fly,2015-09-26
Luke Bryan,63,Kick The Dust Up,2015-09-26
Adam Lambert,64,Ghost Town,2015-09-26
Dustin Lynch,65,Hell Of A Night,2015-09-26
Florida Georgia Line,66,Anything Goes,2015-09-26
Old Dominion,67,Break Up With Him,2015-09-26
Tori Kelly,68,Should've Been Us,2015-09-26
Little Mix,69,Black Magic,2015-09-26
The Weeknd,70,Tell Your Friends,2015-09-26
Carrie Underwood,71,Smoke Break,2015-09-26
The Weeknd,72,Acquainted,2015-09-26
Chris Young,73,I'm Comin' Over,2015-09-26
Zedd Featuring Jon Bellion,74,Beautiful Now,2015-09-26
Travis Scott,75,Antidote,2015-09-26
J. Cole,76,No Role Modelz,2015-09-26
The Weeknd Featuring Lana Del Rey,77,Prisoner,2015-09-26
Cole Swindell,78,Let Me See Ya Girl,2015-09-26
The Weeknd,79,Real Life,2015-09-26
"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",80,Rotten To The Core,2015-09-26
Dan + Shay,81,Nothin' Like You,2015-09-26
Kendrick Lamar,82,Alright,2015-09-26
Wiz Khalifa Featuring Rae Sremmurd,83,Burn Slow,2015-09-26
Post Malone,84,White Iverson,2015-09-26
Pia Mia Featuring Chris Brown & Tyga,85,Do It Again,2015-09-26
Chase Rice,86,Gonna Wanna Tonight,2015-09-26
Chris Brown,87,Liquor,2015-09-26
Meek Mill Featuring Drake,88,R.I.C.O.,2015-09-26
Zac Brown Band,89,Loving You Easy,2015-09-26
Trey Songz,90,About You,2015-09-26
The Weeknd Featuring Ed Sheeran,91,Dark Times,2015-09-26
The Game Featuring Drake,92,100,2015-09-26
Jake Owen,93,Real Life,2015-09-26
Big Sean Featuring Kanye West & John Legend,94,One Man Can Change The World,2015-09-26
Jason Derulo,95,Cheyenne,2015-09-26
Disclosure Featuring Sam Smith,96,Omen,2015-09-26
Halsey,97,New Americana,2015-09-26
J Balvin,98,Ginza,2015-09-26
The Weeknd,99,Shameless,2015-09-26
Nicki Minaj,100,The Night Is Still Young,2015-09-26
The Weeknd,1,The Hills,2015-10-03
Justin Bieber,2,What Do You Mean?,2015-10-03
The Weeknd,3,Can't Feel My Face,2015-10-03
Silento,4,Watch Me,2015-10-03
Selena Gomez Featuring A$AP Rocky,5,Good For You,2015-10-03
R. City Featuring Adam Levine,6,Locked Away,2015-10-03
Fetty Wap Featuring Remy Boyz,7,679,2015-10-03
OMI,8,Cheerleader,2015-10-03
Drake,9,Hotline Bling,2015-10-03
Major Lazer & DJ Snake Featuring MO,10,Lean On,2015-10-03
Ed Sheeran,11,Photograph,2015-10-03
Shawn Mendes,12,Stitches,2015-10-03
Taylor Swift,13,Wildest Dreams,2015-10-03
Demi Lovato,14,Cool For The Summer,2015-10-03
Fetty Wap Featuring Monty,15,My Way,2015-10-03
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",16,Downtown,2015-10-03
Fetty Wap,17,Trap Queen,2015-10-03
Rachel Platten,18,Fight Song,2015-10-03
Skrillex & Diplo With Justin Bieber,19,Where Are U Now,2015-10-03
WALK THE MOON,20,Shut Up And Dance,2015-10-03
iLoveMemphis,21,Hit The Quan,2015-10-03
Charlie Puth Featuring Meghan Trainor,22,Marvin Gaye,2015-10-03
Wiz Khalifa Featuring Charlie Puth,23,See You Again,2015-10-03
One Direction,24,Drag Me Down,2015-10-03
Fall Out Boy,25,Uma Thurman,2015-10-03
Meek Mill Featuring Chris Brown & Nicki Minaj,26,All Eyes On You,2015-10-03
Mark Ronson Featuring Bruno Mars,27,Uptown Funk!,2015-10-03
X Ambassadors,28,Renegades,2015-10-03
Taylor Swift Featuring Kendrick Lamar,29,Bad Blood,2015-10-03
Hailee Steinfeld,30,Love Myself,2015-10-03
Rich Homie Quan,31,Flex (Ooh Ooh Ooh),2015-10-03
Jason Derulo,32,Want To Want Me,2015-10-03
Drake,33,Back To Back,2015-10-03
Elle King,34,Ex's & Oh's,2015-10-03
Fifth Harmony Featuring Kid Ink,35,Worth It,2015-10-03
The Weeknd,36,Earned It (Fifty Shades Of Grey),2015-10-03
Ed Sheeran,37,Thinking Out Loud,2015-10-03
Andy Grammer,38,"Honey, I'm Good.",2015-10-03
Jidenna Featuring Roman GianArthur,39,Classic Man,2015-10-03
Luke Bryan,40,Strip It Down,2015-10-03
Keith Urban,41,"John Cougar, John Deere, John 3:16",2015-10-03
Chris Janson,42,Buy Me A Boat,2015-10-03
Selena Gomez,43,Same Old Love,2015-10-03
Sam Hunt,44,House Party,2015-10-03
Meghan Trainor Featuring John Legend,45,Like I'm Gonna Lose You,2015-10-03
Calvin Harris & Disciples,46,How Deep Is Your Love,2015-10-03
Future Featuring Drake,47,Where Ya At,2015-10-03
Omarion Featuring Chris Brown & Jhene Aiko,48,Post To Be,2015-10-03
Maroon 5,49,Sugar,2015-10-03
Fetty Wap,50,Again,2015-10-03
Jeremih Featuring J. Cole,51,Planez,2015-10-03
Brett Eldredge,52,Lose My Mind,2015-10-03
Thomas Rhett,53,Crash And Burn,2015-10-03
Kenny Chesney,54,Save It For A Rainy Day,2015-10-03
Alessia Cara,55,Here,2015-10-03
Nick Jonas,56,Levels,2015-10-03
Nicky Jam & Enrique Iglesias,57,El Perdon (Forgiveness),2015-10-03
K Camp,58,Comfortable,2015-10-03
Rae Sremmurd,59,This Could Be Us,2015-10-03
Cam,60,Burning House,2015-10-03
Maddie & Tae,61,Fly,2015-10-03
Old Dominion,62,Break Up With Him,2015-10-03
Florida Georgia Line,63,Anything Goes,2015-10-03
Flo Rida Featuring Robin Thicke & Verdine White,64,"I Don't Like It, I Love It",2015-10-03
Carrie Underwood,65,Smoke Break,2015-10-03
Drake,66,Right Hand,2015-10-03
Adam Lambert,67,Ghost Town,2015-10-03
Little Mix,68,Black Magic,2015-10-03
Chris Young,69,I'm Comin' Over,2015-10-03
J. Cole,70,No Role Modelz,2015-10-03
Post Malone,71,White Iverson,2015-10-03
Luke Bryan,72,Kick The Dust Up,2015-10-03
Travis Scott,73,Antidote,2015-10-03
Cole Swindell,74,Let Me See Ya Girl,2015-10-03
Dan + Shay,75,Nothin' Like You,2015-10-03
Chase Rice,76,Gonna Wanna Tonight,2015-10-03
The Weeknd,77,Acquainted,2015-10-03
Chris Brown,78,Liquor,2015-10-03
The Weeknd,79,Tell Your Friends,2015-10-03
Dustin Lynch,80,Hell Of A Night,2015-10-03
Kendrick Lamar,81,Alright,2015-10-03
5 Seconds Of Summer,82,She's Kinda Hot,2015-10-03
Trey Songz,83,About You,2015-10-03
Meek Mill Featuring Drake,84,R.I.C.O.,2015-10-03
Ty Dolla $ign Featuring Future & Rae Sremmurd,85,Blase,2015-10-03
Blake Shelton,86,Gonna,2015-10-03
Lil Wayne & Charlie Puth,87,Nothing But Trouble (Instagram Models),2015-10-03
Jess Glynne,88,Hold My Hand,2015-10-03
Jake Owen,89,Real Life,2015-10-03
The Game Featuring Drake,90,100,2015-10-03
Tori Kelly,91,Should've Been Us,2015-10-03
Kygo Featuring Conrad,92,Firestone,2015-10-03
Zac Brown Band,93,Loving You Easy,2015-10-03
J Balvin,94,Ginza,2015-10-03
Halsey,95,New Americana,2015-10-03
The Weeknd Featuring Lana Del Rey,96,Prisoner,2015-10-03
Daya,97,Hide Away,2015-10-03
The Weeknd Featuring Ed Sheeran,98,Dark Times,2015-10-03
Andrew McMahon In The Wilderness,99,Cecilia And The Satellite,2015-10-03
Rae Sremmurd,100,Come Get Her,2015-10-03
The Weeknd,1,The Hills,2015-10-10
Justin Bieber,2,What Do You Mean?,2015-10-10
The Weeknd,3,Can't Feel My Face,2015-10-10
Drake,4,Hotline Bling,2015-10-10
Silento,5,Watch Me,2015-10-10
Fetty Wap Featuring Remy Boyz,6,679,2015-10-10
R. City Featuring Adam Levine,7,Locked Away,2015-10-10
Selena Gomez Featuring A$AP Rocky,8,Good For You,2015-10-10
OMI,9,Cheerleader,2015-10-10
Taylor Swift,10,Wildest Dreams,2015-10-10
Shawn Mendes,11,Stitches,2015-10-10
Major Lazer & DJ Snake Featuring MO,12,Lean On,2015-10-10
Ed Sheeran,13,Photograph,2015-10-10
Mark Ronson Featuring Bruno Mars,14,Uptown Funk!,2015-10-10
Fetty Wap Featuring Monty,15,My Way,2015-10-10
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",16,Downtown,2015-10-10
Demi Lovato,17,Cool For The Summer,2015-10-10
Fetty Wap,18,Trap Queen,2015-10-10
Rachel Platten,19,Fight Song,2015-10-10
iLoveMemphis,20,Hit The Quan,2015-10-10
Charlie Puth Featuring Meghan Trainor,21,Marvin Gaye,2015-10-10
Ellie Goulding,22,On My Mind,2015-10-10
Wiz Khalifa Featuring Charlie Puth,23,See You Again,2015-10-10
Skrillex & Diplo With Justin Bieber,24,Where Are U Now,2015-10-10
One Direction,25,Drag Me Down,2015-10-10
WALK THE MOON,26,Shut Up And Dance,2015-10-10
X Ambassadors,27,Renegades,2015-10-10
Meek Mill Featuring Chris Brown & Nicki Minaj,28,All Eyes On You,2015-10-10
Fall Out Boy,29,Uma Thurman,2015-10-10
Elle King,30,Ex's & Oh's,2015-10-10
Hailee Steinfeld,31,Love Myself,2015-10-10
Rich Homie Quan,32,Flex (Ooh Ooh Ooh),2015-10-10
Future Featuring Drake,33,Where Ya At,2015-10-10
Drake,34,Back To Back,2015-10-10
Jason Derulo,35,Want To Want Me,2015-10-10
Luke Bryan,36,Strip It Down,2015-10-10
Taylor Swift Featuring Kendrick Lamar,37,Bad Blood,2015-10-10
Ed Sheeran,38,Thinking Out Loud,2015-10-10
Calvin Harris & Disciples,39,How Deep Is Your Love,2015-10-10
Keith Urban,40,"John Cougar, John Deere, John 3:16",2015-10-10
Meghan Trainor Featuring John Legend,41,Like I'm Gonna Lose You,2015-10-10
The Weeknd,42,Earned It (Fifty Shades Of Grey),2015-10-10
Fifth Harmony Featuring Kid Ink,43,Worth It,2015-10-10
Fetty Wap,44,Again,2015-10-10
Maroon 5,45,Sugar,2015-10-10
Jidenna Featuring Roman GianArthur,46,Classic Man,2015-10-10
Alessia Cara,47,Here,2015-10-10
Andy Grammer,48,"Honey, I'm Good.",2015-10-10
Selena Gomez,49,Same Old Love,2015-10-10
Jeremih Featuring J. Cole,50,Planez,2015-10-10
Sam Hunt,51,House Party,2015-10-10
Drake & Future,52,Jumpman,2015-10-10
Brett Eldredge,53,Lose My Mind,2015-10-10
One Direction,54,Infinity,2015-10-10
Kenny Chesney,55,Save It For A Rainy Day,2015-10-10
Nick Jonas,56,Levels,2015-10-10
Chris Janson,57,Buy Me A Boat,2015-10-10
Nicky Jam & Enrique Iglesias,58,El Perdon (Forgiveness),2015-10-10
Drake,59,Right Hand,2015-10-10
K Camp,60,Comfortable,2015-10-10
Fetty Wap,61,RGF Island,2015-10-10
Thomas Rhett,62,Crash And Burn,2015-10-10
Carrie Underwood,63,Smoke Break,2015-10-10
Old Dominion,64,Break Up With Him,2015-10-10
Travis Scott,65,Antidote,2015-10-10
Cam,66,Burning House,2015-10-10
Florida Georgia Line,67,Anything Goes,2015-10-10
Rae Sremmurd,68,This Could Be Us,2015-10-10
Chris Young,69,I'm Comin' Over,2015-10-10
Drake & Future,70,Diamonds Dancing,2015-10-10
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,71,$ave Dat Money,2015-10-10
Maddie & Tae,72,Fly,2015-10-10
Post Malone,73,White Iverson,2015-10-10
J. Cole,74,No Role Modelz,2015-10-10
Drake & Future,75,Big Rings,2015-10-10
Adam Lambert,76,Ghost Town,2015-10-10
Chris Brown,77,Liquor,2015-10-10
Little Mix,78,Black Magic,2015-10-10
Cole Swindell,79,Let Me See Ya Girl,2015-10-10
Dan + Shay,80,Nothin' Like You,2015-10-10
Drake & Future,81,Digital Dash,2015-10-10
Chase Rice,82,Gonna Wanna Tonight,2015-10-10
Luke Bryan,83,Kick The Dust Up,2015-10-10
Demi Lovato,84,Confident,2015-10-10
Drake & Future,85,Live From The Gutter,2015-10-10
Drake & Future,86,Scholarships,2015-10-10
Blake Shelton,87,Gonna,2015-10-10
Drake,88,30 For 30 Freestyle,2015-10-10
Drake & Future,89,I'm The Plug,2015-10-10
Naughty Boy Featuring Beyonce & Arrow Benjamin,90,Runnin' (Lose It All),2015-10-10
Lil Wayne & Charlie Puth,91,Nothing But Trouble (Instagram Models),2015-10-10
Thomas Rhett,92,Die A Happy Man,2015-10-10
Rae Sremmurd,93,Come Get Her,2015-10-10
J Balvin,94,Ginza,2015-10-10
Major Lazer Featuring Ellie Goulding & Tarrus Riley,95,Powerful,2015-10-10
Ty Dolla $ign Featuring Future & Rae Sremmurd,96,Blase,2015-10-10
Flo Rida Featuring Robin Thicke & Verdine White,97,"I Don't Like It, I Love It",2015-10-10
Kendrick Lamar,98,Alright,2015-10-10
A Great Big World Featuring FUTURISTIC,99,Hold Each Other,2015-10-10
Meek Mill Featuring Drake,100,R.I.C.O.,2015-10-10
The Weeknd,1,The Hills,2015-10-17
Justin Bieber,2,What Do You Mean?,2015-10-17
Drake,3,Hotline Bling,2015-10-17
The Weeknd,4,Can't Feel My Face,2015-10-17
Fetty Wap Featuring Remy Boyz,5,679,2015-10-17
R. City Featuring Adam Levine,6,Locked Away,2015-10-17
Silento,7,Watch Me,2015-10-17
Taylor Swift,8,Wildest Dreams,2015-10-17
Shawn Mendes,9,Stitches,2015-10-17
Selena Gomez Featuring A$AP Rocky,10,Good For You,2015-10-17
OMI,11,Cheerleader,2015-10-17
Major Lazer & DJ Snake Featuring MO,12,Lean On,2015-10-17
Ed Sheeran,13,Photograph,2015-10-17
Fetty Wap,14,Trap Queen,2015-10-17
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",15,Downtown,2015-10-17
Fetty Wap Featuring Monty,16,My Way,2015-10-17
iLoveMemphis,17,Hit The Quan,2015-10-17
X Ambassadors,18,Renegades,2015-10-17
Demi Lovato,19,Cool For The Summer,2015-10-17
One Direction,20,Drag Me Down,2015-10-17
Drake & Future,21,Jumpman,2015-10-17
Elle King,22,Ex's & Oh's,2015-10-17
Wiz Khalifa Featuring Charlie Puth,23,See You Again,2015-10-17
Skrillex & Diplo With Justin Bieber,24,Where Are U Now,2015-10-17
WALK THE MOON,25,Shut Up And Dance,2015-10-17
Rachel Platten,26,Fight Song,2015-10-17
Mark Ronson Featuring Bruno Mars,27,Uptown Funk!,2015-10-17
Charlie Puth Featuring Meghan Trainor,28,Marvin Gaye,2015-10-17
Ellie Goulding,29,On My Mind,2015-10-17
Meek Mill Featuring Chris Brown & Nicki Minaj,30,All Eyes On You,2015-10-17
Hailee Steinfeld,31,Love Myself,2015-10-17
Future Featuring Drake,32,Where Ya At,2015-10-17
Meghan Trainor Featuring John Legend,33,Like I'm Gonna Lose You,2015-10-17
Luke Bryan,34,Strip It Down,2015-10-17
Rich Homie Quan,35,Flex (Ooh Ooh Ooh),2015-10-17
Drake,36,Back To Back,2015-10-17
Fall Out Boy,37,Uma Thurman,2015-10-17
Ed Sheeran,38,Thinking Out Loud,2015-10-17
Fetty Wap,39,Again,2015-10-17
Calvin Harris & Disciples,40,How Deep Is Your Love,2015-10-17
Alessia Cara,41,Here,2015-10-17
Jason Derulo,42,Want To Want Me,2015-10-17
Taylor Swift Featuring Kendrick Lamar,43,Bad Blood,2015-10-17
The Weeknd,44,Earned It (Fifty Shades Of Grey),2015-10-17
Maroon 5,45,Sugar,2015-10-17
Nick Jonas,46,Levels,2015-10-17
Fifth Harmony Featuring Kid Ink,47,Worth It,2015-10-17
Selena Gomez,48,Same Old Love,2015-10-17
Brett Eldredge,49,Lose My Mind,2015-10-17
Keith Urban,50,"John Cougar, John Deere, John 3:16",2015-10-17
Jeremih Featuring J. Cole,51,Planez,2015-10-17
Drake & Future,52,Big Rings,2015-10-17
Drake & Future,53,Diamonds Dancing,2015-10-17
Kenny Chesney,54,Save It For A Rainy Day,2015-10-17
Sam Hunt,55,House Party,2015-10-17
Sia,56,Alive,2015-10-17
Fetty Wap,57,RGF Island,2015-10-17
Drake,58,Right Hand,2015-10-17
Old Dominion,59,Break Up With Him,2015-10-17
Nicky Jam & Enrique Iglesias,60,El Perdon (Forgiveness),2015-10-17
Chris Brown,61,Liquor,2015-10-17
Drake & Future,62,Digital Dash,2015-10-17
Cam,63,Burning House,2015-10-17
K Camp,64,Comfortable,2015-10-17
Travis Scott,65,Antidote,2015-10-17
Carrie Underwood,66,Smoke Break,2015-10-17
Florida Georgia Line,67,Anything Goes,2015-10-17
Post Malone,68,White Iverson,2015-10-17
Drake & Future,69,Scholarships,2015-10-17
Chris Young,70,I'm Comin' Over,2015-10-17
Sam Smith,71,Writing's On The Wall,2015-10-17
J. Cole,72,No Role Modelz,2015-10-17
Chris Janson,73,Buy Me A Boat,2015-10-17
Drake & Future,74,Live From The Gutter,2015-10-17
Maddie & Tae,75,Fly,2015-10-17
Drake & Future,76,I'm The Plug,2015-10-17
Rae Sremmurd,77,This Could Be Us,2015-10-17
Drake & Future,78,Plastic Bag,2015-10-17
Dan + Shay,79,Nothin' Like You,2015-10-17
Cole Swindell,80,Let Me See Ya Girl,2015-10-17
Chase Rice,81,Gonna Wanna Tonight,2015-10-17
Drake & Future,82,Change Locations,2015-10-17
Thomas Rhett,83,Die A Happy Man,2015-10-17
Bryson Tiller,84,Don't,2015-10-17
One Direction,85,Infinity,2015-10-17
Fetty Wap Featuring Monty,86,Jugg,2015-10-17
Future,87,Jersey,2015-10-17
Rae Sremmurd,88,Come Get Her,2015-10-17
Little Mix,89,Black Magic,2015-10-17
J Balvin,90,Ginza,2015-10-17
Adam Lambert,91,Ghost Town,2015-10-17
Drake,92,30 For 30 Freestyle,2015-10-17
Ty Dolla $ign Featuring Future & Rae Sremmurd,93,Blase,2015-10-17
Major Lazer Featuring Ellie Goulding & Tarrus Riley,94,Powerful,2015-10-17
Halsey,95,New Americana,2015-10-17
Rudimental Featuring Ed Sheeran,96,Lay It All On Me,2015-10-17
Blake Shelton,97,Gonna,2015-10-17
Lil Wayne & Charlie Puth,98,Nothing But Trouble (Instagram Models),2015-10-17
Luke Bryan,99,Kick The Dust Up,2015-10-17
Daya,100,Hide Away,2015-10-17
The Weeknd,1,The Hills,2015-10-24
Drake,2,Hotline Bling,2015-10-24
Justin Bieber,3,What Do You Mean?,2015-10-24
Silento,4,Watch Me,2015-10-24
Fetty Wap Featuring Remy Boyz,5,679,2015-10-24
The Weeknd,6,Can't Feel My Face,2015-10-24
R. City Featuring Adam Levine,7,Locked Away,2015-10-24
