rank,song_name,week,main_artist_name
1,What Do You Mean?,2015-09-19,justin bieber
2,Can't Feel My Face,2015-09-19,the weeknd
3,The Hills,2015-09-19,the weeknd
4,Watch Me,2015-09-19,silento
5,Cheerleader,2015-09-19,omi
6,Lean On,2015-09-19,major lazer
7,Good For You,2015-09-19,selena gomez
8,679,2015-09-19,fetty wap
9,Locked Away,2015-09-19,r. city
10,Where Are U Now,2015-09-19,skrillex
11,Cool For The Summer,2015-09-19,demi lovato
12,Photograph,2015-09-19,ed sheeran
13,Fight Song,2015-09-19,rachel platten
14,Trap Queen,2015-09-19,fetty wap
15,Wildest Dreams,2015-09-19,taylor swift
16,My Way,2015-09-19,fetty wap
17,Shut Up And Dance,2015-09-19,walk the moon
18,Downtown,2015-09-19,macklemore
19,Stitches,2015-09-19,shawn mendes
20,See You Again,2015-09-19,wiz khalifa
21,Bad Blood,2015-09-19,taylor swift
22,Hotline Bling,2015-09-19,drake
23,Drag Me Down,2015-09-19,one direction
24,Hit The Quan,2015-09-19,ilovememphis
25,Uptown Funk!,2015-09-19,mark ronson
26,Marvin Gaye,2015-09-19,charlie puth
27,Uma Thurman,2015-09-19,fall out boy
28,All Eyes On You,2015-09-19,meek mill
29,Worth It,2015-09-19,fifth harmony
30,Classic Man,2015-09-19,jidenna
31,Flex (Ooh Ooh Ooh),2015-09-19,rich homie quan
32,Want To Want Me,2015-09-19,jason derulo
33,House Party,2015-09-19,sam hunt
34,Thinking Out Loud,2015-09-19,ed sheeran
35,"Honey, I'm Good.",2015-09-19,andy grammer
36,Sugar,2015-09-19,maroon 5
37,Earned It (Fifty Shades Of Grey),2015-09-19,the weeknd
38,Post To Be,2015-09-19,omarion
39,Back To Back,2015-09-19,drake
40,Renegades,2015-09-19,x ambassadors
41,"John Cougar, John Deere, John 3:16",2015-09-19,keith urban
42,Again,2015-09-19,fetty wap
43,Hey Mama,2015-09-19,david guetta
44,Love Myself,2015-09-19,hailee steinfeld
45,Buy Me A Boat,2015-09-19,chris janson
46,Crash And Burn,2015-09-19,thomas rhett
47,Prisoner,2015-09-19,the weeknd
48,Strip It Down,2015-09-19,luke bryan
49,Planez,2015-09-19,jeremih
50,Ex's & Oh's,2015-09-19,elle king
51,Should've Been Us,2015-09-19,tori kelly
52,Where Ya At,2015-09-19,future
53,Like I'm Gonna Lose You,2015-09-19,meghan trainor
54,Tell Your Friends,2015-09-19,the weeknd
55,How Deep Is Your Love,2015-09-19,calvin harris
56,This Could Be Us,2015-09-19,rae sremmurd
57,"I Don't Like It, I Love It",2015-09-19,flo rida
58,She's Kinda Hot,2015-09-19,5 seconds of summer
59,Lose My Mind,2015-09-19,brett eldredge
60,Acquainted,2015-09-19,the weeknd
61,Hell Of A Night,2015-09-19,dustin lynch
62,Real Life,2015-09-19,the weeknd
63,Save It For A Rainy Day,2015-09-19,kenny chesney
64,Kick The Dust Up,2015-09-19,luke bryan
65,El Perdon (Forgiveness),2015-09-19,nicky jam
66,Here,2015-09-19,alessia cara
67,Burning House,2015-09-19,cam
68,Comfortable,2015-09-19,k camp
69,Fly,2015-09-19,maddie
70,Levels,2015-09-19,nick jonas
71,Beautiful Now,2015-09-19,zedd
72,Ghost Town,2015-09-19,adam lambert
73,Anything Goes,2015-09-19,florida georgia line
74,Black Magic,2015-09-19,little mix
75,Break Up With Him,2015-09-19,old dominion
76,Smoke Break,2015-09-19,carrie underwood
77,Roots,2015-09-19,imagine dragons
78,I'm Comin' Over,2015-09-19,chris young
79,Shameless,2015-09-19,the weeknd
80,Rotten To The Core,2015-09-19,dove cameron
81,Cheyenne,2015-09-19,jason derulo
82,One Man Can Change The World,2015-09-19,big sean
83,Loving You Easy,2015-09-19,zac brown band
84,Alright,2015-09-19,kendrick lamar
85,Losers,2015-09-19,the weeknd
86,Do It Again,2015-09-19,pia mia
87,R.I.C.O.,2015-09-19,meek mill
88,Let Me See Ya Girl,2015-09-19,cole swindell
89,Omen,2015-09-19,disclosure
90,Young & Crazy,2015-09-19,frankie ballard
91,100,2015-09-19,the game
92,No Role Modelz,2015-09-19,j. cole
93,Dark Times,2015-09-19,the weeknd
94,Nothin' Like You,2015-09-19,dan + shay
95,Jet Black Heart,2015-09-19,5 seconds of summer
96,Gonna Wanna Tonight,2015-09-19,chase rice
97,New Americana,2015-09-19,halsey
98,The Night Is Still Young,2015-09-19,nicki minaj
99,Real Life,2015-09-19,jake owen
100,In The Night,2015-09-19,the weeknd
1,Can't Feel My Face,2015-09-26,the weeknd
2,The Hills,2015-09-26,the weeknd
3,What Do You Mean?,2015-09-26,justin bieber
4,Watch Me,2015-09-26,silento
5,Cheerleader,2015-09-26,omi
6,Lean On,2015-09-26,major lazer
7,Good For You,2015-09-26,selena gomez
8,679,2015-09-26,fetty wap
9,Locked Away,2015-09-26,r. city
10,Photograph,2015-09-26,ed sheeran
11,Cool For The Summer,2015-09-26,demi lovato
12,Wildest Dreams,2015-09-26,taylor swift
13,Where Are U Now,2015-09-26,skrillex
14,Stitches,2015-09-26,shawn mendes
15,My Way,2015-09-26,fetty wap
16,Hotline Bling,2015-09-26,drake
17,Fight Song,2015-09-26,rachel platten
18,Trap Queen,2015-09-26,fetty wap
19,Shut Up And Dance,2015-09-26,walk the moon
20,Hit The Quan,2015-09-26,ilovememphis
21,See You Again,2015-09-26,wiz khalifa
22,Downtown,2015-09-26,macklemore
23,Marvin Gaye,2015-09-26,charlie puth
24,Drag Me Down,2015-09-26,one direction
25,Bad Blood,2015-09-26,taylor swift
26,Uma Thurman,2015-09-26,fall out boy
27,Uptown Funk!,2015-09-26,mark ronson
28,All Eyes On You,2015-09-26,meek mill
29,Flex (Ooh Ooh Ooh),2015-09-26,rich homie quan
30,Worth It,2015-09-26,fifth harmony
31,Want To Want Me,2015-09-26,jason derulo
32,Thinking Out Loud,2015-09-26,ed sheeran
33,Classic Man,2015-09-26,jidenna
34,Earned It (Fifty Shades Of Grey),2015-09-26,the weeknd
35,House Party,2015-09-26,sam hunt
36,Love Myself,2015-09-26,hailee steinfeld
37,Renegades,2015-09-26,x ambassadors
38,"Honey, I'm Good.",2015-09-26,andy grammer
39,Back To Back,2015-09-26,drake
40,Post To Be,2015-09-26,omarion
41,Sugar,2015-09-26,maroon 5
42,Buy Me A Boat,2015-09-26,chris janson
43,Crash And Burn,2015-09-26,thomas rhett
44,"John Cougar, John Deere, John 3:16",2015-09-26,keith urban
45,How Deep Is Your Love,2015-09-26,calvin harris
46,Ex's & Oh's,2015-09-26,elle king
47,Again,2015-09-26,fetty wap
48,Where Ya At,2015-09-26,future
49,Strip It Down,2015-09-26,luke bryan
50,Like I'm Gonna Lose You,2015-09-26,meghan trainor
51,Planez,2015-09-26,jeremih
52,Lose My Mind,2015-09-26,brett eldredge
53,This Could Be Us,2015-09-26,rae sremmurd
54,Comfortable,2015-09-26,k camp
55,Save It For A Rainy Day,2015-09-26,kenny chesney
56,El Perdon (Forgiveness),2015-09-26,nicky jam
57,"I Don't Like It, I Love It",2015-09-26,flo rida
58,Here,2015-09-26,alessia cara
59,Burning House,2015-09-26,cam
60,Levels,2015-09-26,nick jonas
61,She's Kinda Hot,2015-09-26,5 seconds of summer
62,Fly,2015-09-26,maddie
63,Kick The Dust Up,2015-09-26,luke bryan
64,Ghost Town,2015-09-26,adam lambert
65,Hell Of A Night,2015-09-26,dustin lynch
66,Anything Goes,2015-09-26,florida georgia line
67,Break Up With Him,2015-09-26,old dominion
68,Should've Been Us,2015-09-26,tori kelly
69,Black Magic,2015-09-26,little mix
70,Tell Your Friends,2015-09-26,the weeknd
71,Smoke Break,2015-09-26,carrie underwood
72,Acquainted,2015-09-26,the weeknd
73,I'm Comin' Over,2015-09-26,chris young
74,Beautiful Now,2015-09-26,zedd
75,Antidote,2015-09-26,travis scott
76,No Role Modelz,2015-09-26,j. cole
77,Prisoner,2015-09-26,the weeknd
78,Let Me See Ya Girl,2015-09-26,cole swindell
79,Real Life,2015-09-26,the weeknd
80,Rotten To The Core,2015-09-26,dove cameron
81,Nothin' Like You,2015-09-26,dan + shay
82,Alright,2015-09-26,kendrick lamar
83,Burn Slow,2015-09-26,wiz khalifa
84,White Iverson,2015-09-26,post malone
85,Do It Again,2015-09-26,pia mia
86,Gonna Wanna Tonight,2015-09-26,chase rice
87,Liquor,2015-09-26,chris brown
88,R.I.C.O.,2015-09-26,meek mill
89,Loving You Easy,2015-09-26,zac brown band
90,About You,2015-09-26,trey songz
91,Dark Times,2015-09-26,the weeknd
92,100,2015-09-26,the game
93,Real Life,2015-09-26,jake owen
94,One Man Can Change The World,2015-09-26,big sean
95,Cheyenne,2015-09-26,jason derulo
96,Omen,2015-09-26,disclosure
97,New Americana,2015-09-26,halsey
98,Ginza,2015-09-26,j balvin
99,Shameless,2015-09-26,the weeknd
100,The Night Is Still Young,2015-09-26,nicki minaj
1,The Hills,2015-10-03,the weeknd
2,What Do You Mean?,2015-10-03,justin bieber
3,Can't Feel My Face,2015-10-03,the weeknd
4,Watch Me,2015-10-03,silento
5,Good For You,2015-10-03,selena gomez
6,Locked Away,2015-10-03,r. city
7,679,2015-10-03,fetty wap
8,Cheerleader,2015-10-03,omi
9,Hotline Bling,2015-10-03,drake
10,Lean On,2015-10-03,major lazer
11,Photograph,2015-10-03,ed sheeran
12,Stitches,2015-10-03,shawn mendes
13,Wildest Dreams,2015-10-03,taylor swift
14,Cool For The Summer,2015-10-03,demi lovato
15,My Way,2015-10-03,fetty wap
16,Downtown,2015-10-03,macklemore
17,Trap Queen,2015-10-03,fetty wap
18,Fight Song,2015-10-03,rachel platten
19,Where Are U Now,2015-10-03,skrillex
20,Shut Up And Dance,2015-10-03,walk the moon
21,Hit The Quan,2015-10-03,ilovememphis
22,Marvin Gaye,2015-10-03,charlie puth
23,See You Again,2015-10-03,wiz khalifa
24,Drag Me Down,2015-10-03,one direction
25,Uma Thurman,2015-10-03,fall out boy
26,All Eyes On You,2015-10-03,meek mill
27,Uptown Funk!,2015-10-03,mark ronson
28,Renegades,2015-10-03,x ambassadors
29,Bad Blood,2015-10-03,taylor swift
30,Love Myself,2015-10-03,hailee steinfeld
31,Flex (Ooh Ooh Ooh),2015-10-03,rich homie quan
32,Want To Want Me,2015-10-03,jason derulo
33,Back To Back,2015-10-03,drake
34,Ex's & Oh's,2015-10-03,elle king
35,Worth It,2015-10-03,fifth harmony
36,Earned It (Fifty Shades Of Grey),2015-10-03,the weeknd
37,Thinking Out Loud,2015-10-03,ed sheeran
38,"Honey, I'm Good.",2015-10-03,andy grammer
39,Classic Man,2015-10-03,jidenna
40,Strip It Down,2015-10-03,luke bryan
41,"John Cougar, John Deere, John 3:16",2015-10-03,keith urban
42,Buy Me A Boat,2015-10-03,chris janson
43,Same Old Love,2015-10-03,selena gomez
44,House Party,2015-10-03,sam hunt
45,Like I'm Gonna Lose You,2015-10-03,meghan trainor
46,How Deep Is Your Love,2015-10-03,calvin harris
47,Where Ya At,2015-10-03,future
48,Post To Be,2015-10-03,omarion
49,Sugar,2015-10-03,maroon 5
50,Again,2015-10-03,fetty wap
51,Planez,2015-10-03,jeremih
52,Lose My Mind,2015-10-03,brett eldredge
53,Crash And Burn,2015-10-03,thomas rhett
54,Save It For A Rainy Day,2015-10-03,kenny chesney
55,Here,2015-10-03,alessia cara
56,Levels,2015-10-03,nick jonas
57,El Perdon (Forgiveness),2015-10-03,nicky jam
58,Comfortable,2015-10-03,k camp
59,This Could Be Us,2015-10-03,rae sremmurd
60,Burning House,2015-10-03,cam
61,Fly,2015-10-03,maddie
62,Break Up With Him,2015-10-03,old dominion
63,Anything Goes,2015-10-03,florida georgia line
64,"I Don't Like It, I Love It",2015-10-03,flo rida
65,Smoke Break,2015-10-03,carrie underwood
66,Right Hand,2015-10-03,drake
67,Ghost Town,2015-10-03,adam lambert
68,Black Magic,2015-10-03,little mix
69,I'm Comin' Over,2015-10-03,chris young
70,No Role Modelz,2015-10-03,j. cole
71,White Iverson,2015-10-03,post malone
72,Kick The Dust Up,2015-10-03,luke bryan
73,Antidote,2015-10-03,travis scott
74,Let Me See Ya Girl,2015-10-03,cole swindell
75,Nothin' Like You,2015-10-03,dan + shay
76,Gonna Wanna Tonight,2015-10-03,chase rice
77,Acquainted,2015-10-03,the weeknd
78,Liquor,2015-10-03,chris brown
79,Tell Your Friends,2015-10-03,the weeknd
80,Hell Of A Night,2015-10-03,dustin lynch
81,Alright,2015-10-03,kendrick lamar
82,She's Kinda Hot,2015-10-03,5 seconds of summer
83,About You,2015-10-03,trey songz
84,R.I.C.O.,2015-10-03,meek mill
85,Blase,2015-10-03,ty dolla $ign
86,Gonna,2015-10-03,blake shelton
87,Nothing But Trouble (Instagram Models),2015-10-03,lil wayne
88,Hold My Hand,2015-10-03,jess glynne
89,Real Life,2015-10-03,jake owen
90,100,2015-10-03,the game
91,Should've Been Us,2015-10-03,tori kelly
92,Firestone,2015-10-03,kygo
93,Loving You Easy,2015-10-03,zac brown band
94,Ginza,2015-10-03,j balvin
95,New Americana,2015-10-03,halsey
96,Prisoner,2015-10-03,the weeknd
97,Hide Away,2015-10-03,daya
98,Dark Times,2015-10-03,the weeknd
99,Cecilia And The Satellite,2015-10-03,andrew mcmahon in the wilderness
100,Come Get Her,2015-10-03,rae sremmurd
1,The Hills,2015-10-10,the weeknd
2,What Do You Mean?,2015-10-10,justin bieber
3,Can't Feel My Face,2015-10-10,the weeknd
4,Hotline Bling,2015-10-10,drake
5,Watch Me,2015-10-10,silento
6,679,2015-10-10,fetty wap
7,Locked Away,2015-10-10,r. city
8,Good For You,2015-10-10,selena gomez
9,Cheerleader,2015-10-10,omi
10,Wildest Dreams,2015-10-10,taylor swift
11,Stitches,2015-10-10,shawn mendes
12,Lean On,2015-10-10,major lazer
13,Photograph,2015-10-10,ed sheeran
14,Uptown Funk!,2015-10-10,mark ronson
15,My Way,2015-10-10,fetty wap
16,Downtown,2015-10-10,macklemore
17,Cool For The Summer,2015-10-10,demi lovato
18,Trap Queen,2015-10-10,fetty wap
19,Fight Song,2015-10-10,rachel platten
20,Hit The Quan,2015-10-10,ilovememphis
21,Marvin Gaye,2015-10-10,charlie puth
22,On My Mind,2015-10-10,ellie goulding
23,See You Again,2015-10-10,wiz khalifa
24,Where Are U Now,2015-10-10,skrillex
25,Drag Me Down,2015-10-10,one direction
26,Shut Up And Dance,2015-10-10,walk the moon
27,Renegades,2015-10-10,x ambassadors
28,All Eyes On You,2015-10-10,meek mill
29,Uma Thurman,2015-10-10,fall out boy
30,Ex's & Oh's,2015-10-10,elle king
31,Love Myself,2015-10-10,hailee steinfeld
32,Flex (Ooh Ooh Ooh),2015-10-10,rich homie quan
33,Where Ya At,2015-10-10,future
34,Back To Back,2015-10-10,drake
35,Want To Want Me,2015-10-10,jason derulo
36,Strip It Down,2015-10-10,luke bryan
37,Bad Blood,2015-10-10,taylor swift
38,Thinking Out Loud,2015-10-10,ed sheeran
39,How Deep Is Your Love,2015-10-10,calvin harris
40,"John Cougar, John Deere, John 3:16",2015-10-10,keith urban
41,Like I'm Gonna Lose You,2015-10-10,meghan trainor
42,Earned It (Fifty Shades Of Grey),2015-10-10,the weeknd
43,Worth It,2015-10-10,fifth harmony
44,Again,2015-10-10,fetty wap
45,Sugar,2015-10-10,maroon 5
46,Classic Man,2015-10-10,jidenna
47,Here,2015-10-10,alessia cara
48,"Honey, I'm Good.",2015-10-10,andy grammer
49,Same Old Love,2015-10-10,selena gomez
50,Planez,2015-10-10,jeremih
51,House Party,2015-10-10,sam hunt
52,Jumpman,2015-10-10,drake
53,Lose My Mind,2015-10-10,brett eldredge
54,Infinity,2015-10-10,one direction
55,Save It For A Rainy Day,2015-10-10,kenny chesney
56,Levels,2015-10-10,nick jonas
57,Buy Me A Boat,2015-10-10,chris janson
58,El Perdon (Forgiveness),2015-10-10,nicky jam
59,Right Hand,2015-10-10,drake
60,Comfortable,2015-10-10,k camp
61,RGF Island,2015-10-10,fetty wap
62,Crash And Burn,2015-10-10,thomas rhett
63,Smoke Break,2015-10-10,carrie underwood
64,Break Up With Him,2015-10-10,old dominion
65,Antidote,2015-10-10,travis scott
66,Burning House,2015-10-10,cam
67,Anything Goes,2015-10-10,florida georgia line
68,This Could Be Us,2015-10-10,rae sremmurd
69,I'm Comin' Over,2015-10-10,chris young
70,Diamonds Dancing,2015-10-10,drake
71,$ave Dat Money,2015-10-10,lil dicky
72,Fly,2015-10-10,maddie
73,White Iverson,2015-10-10,post malone
74,No Role Modelz,2015-10-10,j. cole
75,Big Rings,2015-10-10,drake
76,Ghost Town,2015-10-10,adam lambert
77,Liquor,2015-10-10,chris brown
78,Black Magic,2015-10-10,little mix
79,Let Me See Ya Girl,2015-10-10,cole swindell
80,Nothin' Like You,2015-10-10,dan + shay
81,Digital Dash,2015-10-10,drake
82,Gonna Wanna Tonight,2015-10-10,chase rice
83,Kick The Dust Up,2015-10-10,luke bryan
84,Confident,2015-10-10,demi lovato
85,Live From The Gutter,2015-10-10,drake
86,Scholarships,2015-10-10,drake
87,Gonna,2015-10-10,blake shelton
88,30 For 30 Freestyle,2015-10-10,drake
89,I'm The Plug,2015-10-10,drake
90,Runnin' (Lose It All),2015-10-10,naughty boy
91,Nothing But Trouble (Instagram Models),2015-10-10,lil wayne
92,Die A Happy Man,2015-10-10,thomas rhett
93,Come Get Her,2015-10-10,rae sremmurd
94,Ginza,2015-10-10,j balvin
95,Powerful,2015-10-10,major lazer
96,Blase,2015-10-10,ty dolla $ign
97,"I Don't Like It, I Love It",2015-10-10,flo rida
98,Alright,2015-10-10,kendrick lamar
99,Hold Each Other,2015-10-10,a great big world
100,R.I.C.O.,2015-10-10,meek mill
1,The Hills,2015-10-17,the weeknd
2,What Do You Mean?,2015-10-17,justin bieber
3,Hotline Bling,2015-10-17,drake
4,Can't Feel My Face,2015-10-17,the weeknd
5,679,2015-10-17,fetty wap
6,Locked Away,2015-10-17,r. city
7,Watch Me,2015-10-17,silento
8,Wildest Dreams,2015-10-17,taylor swift
9,Stitches,2015-10-17,shawn mendes
10,Good For You,2015-10-17,selena gomez
11,Cheerleader,2015-10-17,omi
12,Lean On,2015-10-17,major lazer
13,Photograph,2015-10-17,ed sheeran
14,Trap Queen,2015-10-17,fetty wap
15,Downtown,2015-10-17,macklemore
16,My Way,2015-10-17,fetty wap
17,Hit The Quan,2015-10-17,ilovememphis
18,Renegades,2015-10-17,x ambassadors
19,Cool For The Summer,2015-10-17,demi lovato
20,Drag Me Down,2015-10-17,one direction
21,Jumpman,2015-10-17,drake
22,Ex's & Oh's,2015-10-17,elle king
23,See You Again,2015-10-17,wiz khalifa
24,Where Are U Now,2015-10-17,skrillex
25,Shut Up And Dance,2015-10-17,walk the moon
26,Fight Song,2015-10-17,rachel platten
27,Uptown Funk!,2015-10-17,mark ronson
28,Marvin Gaye,2015-10-17,charlie puth
29,On My Mind,2015-10-17,ellie goulding
30,All Eyes On You,2015-10-17,meek mill
31,Love Myself,2015-10-17,hailee steinfeld
32,Where Ya At,2015-10-17,future
33,Like I'm Gonna Lose You,2015-10-17,meghan trainor
34,Strip It Down,2015-10-17,luke bryan
35,Flex (Ooh Ooh Ooh),2015-10-17,rich homie quan
36,Back To Back,2015-10-17,drake
37,Uma Thurman,2015-10-17,fall out boy
38,Thinking Out Loud,2015-10-17,ed sheeran
39,Again,2015-10-17,fetty wap
40,How Deep Is Your Love,2015-10-17,calvin harris
41,Here,2015-10-17,alessia cara
42,Want To Want Me,2015-10-17,jason derulo
43,Bad Blood,2015-10-17,taylor swift
44,Earned It (Fifty Shades Of Grey),2015-10-17,the weeknd
45,Sugar,2015-10-17,maroon 5
46,Levels,2015-10-17,nick jonas
47,Worth It,2015-10-17,fifth harmony
48,Same Old Love,2015-10-17,selena gomez
49,Lose My Mind,2015-10-17,brett eldredge
50,"John Cougar, John Deere, John 3:16",2015-10-17,keith urban
51,Planez,2015-10-17,jeremih
52,Big Rings,2015-10-17,drake
53,Diamonds Dancing,2015-10-17,drake
54,Save It For A Rainy Day,2015-10-17,kenny chesney
55,House Party,2015-10-17,sam hunt
56,Alive,2015-10-17,sia
57,RGF Island,2015-10-17,fetty wap
58,Right Hand,2015-10-17,drake
59,Break Up With Him,2015-10-17,old dominion
60,El Perdon (Forgiveness),2015-10-17,nicky jam
61,Liquor,2015-10-17,chris brown
62,Digital Dash,2015-10-17,drake
63,Burning House,2015-10-17,cam
64,Comfortable,2015-10-17,k camp
65,Antidote,2015-10-17,travis scott
66,Smoke Break,2015-10-17,carrie underwood
67,Anything Goes,2015-10-17,florida georgia line
68,White Iverson,2015-10-17,post malone
69,Scholarships,2015-10-17,drake
70,I'm Comin' Over,2015-10-17,chris young
71,Writing's On The Wall,2015-10-17,sam smith
72,No Role Modelz,2015-10-17,j. cole
73,Buy Me A Boat,2015-10-17,chris janson
74,Live From The Gutter,2015-10-17,drake
75,Fly,2015-10-17,maddie
76,I'm The Plug,2015-10-17,drake
77,This Could Be Us,2015-10-17,rae sremmurd
78,Plastic Bag,2015-10-17,drake
79,Nothin' Like You,2015-10-17,dan + shay
80,Let Me See Ya Girl,2015-10-17,cole swindell
81,Gonna Wanna Tonight,2015-10-17,chase rice
82,Change Locations,2015-10-17,drake
83,Die A Happy Man,2015-10-17,thomas rhett
84,Don't,2015-10-17,bryson tiller
85,Infinity,2015-10-17,one direction
86,Jugg,2015-10-17,fetty wap
87,Jersey,2015-10-17,future
88,Come Get Her,2015-10-17,rae sremmurd
89,Black Magic,2015-10-17,little mix
90,Ginza,2015-10-17,j balvin
91,Ghost Town,2015-10-17,adam lambert
92,30 For 30 Freestyle,2015-10-17,drake
93,Blase,2015-10-17,ty dolla $ign
94,Powerful,2015-10-17,major lazer
95,New Americana,2015-10-17,halsey
96,Lay It All On Me,2015-10-17,rudimental
97,Gonna,2015-10-17,blake shelton
98,Nothing But Trouble (Instagram Models),2015-10-17,lil wayne
99,Kick The Dust Up,2015-10-17,luke bryan
100,Hide Away,2015-10-17,daya
1,The Hills,2015-10-24,the weeknd
2,Hotline Bling,2015-10-24,drake
3,What Do You Mean?,2015-10-24,justin bieber
4,Watch Me,2015-10-24,silento
5,679,2015-10-24,fetty wap
6,Can't Feel My Face,2015-10-24,the weeknd
7,Locked Away,2015-10-24,r. city
8,Stitches,2015-10-24,shawn mendes
9,Wildest Dreams,2015-10-24,taylor swift
10,Good For You,2015-10-24,selena gomez
11,Lean On,2015-10-24,major lazer
12,Photograph,2015-10-24,ed sheeran
13,Cheerleader,2015-10-24,omi
14,Downtown,2015-10-24,macklemore
15,Hit The Quan,2015-10-24,ilovememphis
16,Jumpman,2015-10-24,drake
17,Trap Queen,2015-10-24,fetty wap
18,My Way,2015-10-24,fetty wap
19,Renegades,2015-10-24,x ambassadors
20,Ex's & Oh's,2015-10-24,elle king
21,Drag Me Down,2015-10-24,one direction
22,See You Again,2015-10-24,wiz khalifa
23,On My Mind,2015-10-24,ellie goulding
24,Shut Up And Dance,2015-10-24,walk the moon
25,Uptown Funk!,2015-10-24,mark ronson
26,Fight Song,2015-10-24,rachel platten
27,Where Are U Now,2015-10-24,skrillex
28,Like I'm Gonna Lose You,2015-10-24,meghan trainor
29,Here,2015-10-24,alessia cara
30,Where Ya At,2015-10-24,future
31,Love Myself,2015-10-24,hailee steinfeld
32,Cool For The Summer,2015-10-24,demi lovato
33,How Deep Is Your Love,2015-10-24,calvin harris
34,Strip It Down,2015-10-24,luke bryan
35,All Eyes On You,2015-10-24,meek mill
36,Marvin Gaye,2015-10-24,charlie puth
37,Thinking Out Loud,2015-10-24,ed sheeran
38,Same Old Love,2015-10-24,selena gomez
39,Again,2015-10-24,fetty wap
40,Flex (Ooh Ooh Ooh),2015-10-24,rich homie quan
41,Back To Back,2015-10-24,drake
42,Want To Want Me,2015-10-24,jason derulo
43,Uma Thurman,2015-10-24,fall out boy
44,Levels,2015-10-24,nick jonas
45,Sugar,2015-10-24,maroon 5
46,Bad Blood,2015-10-24,taylor swift
47,Earned It (Fifty Shades Of Grey),2015-10-24,the weeknd
48,Lose My Mind,2015-10-24,brett eldredge
49,Planez,2015-10-24,jeremih
50,Worth It,2015-10-24,fifth harmony
51,Antidote,2015-10-24,travis scott
52,Big Rings,2015-10-24,drake
53,White Iverson,2015-10-24,post malone
54,Break Up With Him,2015-10-24,old dominion
55,Diamonds Dancing,2015-10-24,drake
56,Burning House,2015-10-24,cam
57,Save It For A Rainy Day,2015-10-24,kenny chesney
58,El Perdon (Forgiveness),2015-10-24,nicky jam
59,"John Cougar, John Deere, John 3:16",2015-10-24,keith urban
60,I'm Comin' Over,2015-10-24,chris young
61,Anything Goes,2015-10-24,florida georgia line
62,Comfortable,2015-10-24,k camp
63,House Party,2015-10-24,sam hunt
64,Liquor,2015-10-24,chris brown
65,Right Hand,2015-10-24,drake
66,No Role Modelz,2015-10-24,j. cole
67,RGF Island,2015-10-24,fetty wap
68,Smoke Break,2015-10-24,carrie underwood
69,Die A Happy Man,2015-10-24,thomas rhett
70,Fly,2015-10-24,maddie
71,Digital Dash,2015-10-24,drake
72,Scholarships,2015-10-24,drake
73,Gonna Wanna Tonight,2015-10-24,chase rice
74,Let Me See Ya Girl,2015-10-24,cole swindell
75,Buy Me A Boat,2015-10-24,chris janson
76,Nothin' Like You,2015-10-24,dan + shay
77,This Could Be Us,2015-10-24,rae sremmurd
78,Come Get Her,2015-10-24,rae sremmurd
79,I'm The Plug,2015-10-24,drake
80,Blase,2015-10-24,ty dolla $ign
81,Don't,2015-10-24,bryson tiller
82,Live From The Gutter,2015-10-24,drake
83,Back Up,2015-10-24,dej loaf
84,Powerful,2015-10-24,major lazer
85,Gonna,2015-10-24,blake shelton
86,Change Locations,2015-10-24,drake
87,Plastic Bag,2015-10-24,drake
88,Ginza,2015-10-24,j balvin
89,Nothing But Trouble (Instagram Models),2015-10-24,lil wayne
90,Break Up In A Small Town,2015-10-24,sam hunt
91,Jersey,2015-10-24,future
92,New Americana,2015-10-24,halsey
93,Hide Away,2015-10-24,daya
94,The Fix,2015-10-24,nelly
95,Stressed Out,2015-10-24,twenty one pilots
96,Cecilia And The Satellite,2015-10-24,andrew mcmahon in the wilderness
97,Ghost Town,2015-10-24,adam lambert
98,Jugg,2015-10-24,fetty wap
99,Stay A Little Longer,2015-10-24,brothers osborne
100,Hold Each Other,2015-10-24,a great big world
1,The Hills,2015-10-31,the weeknd
2,Hotline Bling,2015-10-31,drake
3,What Do You Mean?,2015-10-31,justin bieber
4,679,2015-10-31,fetty wap
5,Stitches,2015-10-31,shawn mendes
6,Wildest Dreams,2015-10-31,taylor swift
7,Can't Feel My Face,2015-10-31,the weeknd
8,Locked Away,2015-10-31,r. city
9,Watch Me,2015-10-31,silento
10,Good For You,2015-10-31,selena gomez
11,Lean On,2015-10-31,major lazer
12,Downtown,2015-10-31,macklemore
13,Jumpman,2015-10-31,drake
14,Cheerleader,2015-10-31,omi
15,Hit The Quan,2015-10-31,ilovememphis
16,Ex's & Oh's,2015-10-31,elle king
17,Photograph,2015-10-31,ed sheeran
18,Same Old Love,2015-10-31,selena gomez
19,Trap Queen,2015-10-31,fetty wap
20,Renegades,2015-10-31,x ambassadors
21,My Way,2015-10-31,fetty wap
22,On My Mind,2015-10-31,ellie goulding
23,Here,2015-10-31,alessia cara
24,Like I'm Gonna Lose You,2015-10-31,meghan trainor
25,See You Again,2015-10-31,wiz khalifa
26,Drag Me Down,2015-10-31,one direction
27,Uptown Funk!,2015-10-31,mark ronson
28,Where Ya At,2015-10-31,future
29,Shut Up And Dance,2015-10-31,walk the moon
30,Strip It Down,2015-10-31,luke bryan
31,How Deep Is Your Love,2015-10-31,calvin harris
32,Fight Song,2015-10-31,rachel platten
33,Where Are U Now,2015-10-31,skrillex
34,Love Myself,2015-10-31,hailee steinfeld
